Rank,Country / Dependency,Continent,Population,Percentage of the world,Date,Source (official or from the United Nations),Notes
–,World,All,7981630000,100%,1 Oct 2022,UN projection[3],
1,China,Asia,1412600000,,31 Dec 2021,Official estimate[4],"The population figure refers to mainland China, excluding its special administrative regions of Hong Kong and Macau, the former of which returned to Chinese sovereignty in 1997 and the latter in 1999."
2,India,Asia,1375586000,,1 Mar 2022,Official projection[5],The figure includes the population of Indian-administered Jammu and Kashmir and Ladakh.
3,United States,North America,331893745,,1 Jul 2021,Official estimate[6],"The figure includes the 50 states and the District of Columbia, but excludes the territories of the United States."
4,Indonesia,Asia[b],275773800,,1 Jul 2022,Official estimate[7],
5,Pakistan,Asia,229489000,,1 Jul 2022,UN projection[3],The figure includes the population of Pakistan-administered Azad Kashmir and Gilgit-Baltistan.
6,Nigeria,Africa,216747000,,1 Jul 2022,UN projection[3],
7,Brazil,South America,215209162,,1 Oct 2022,National population clock[8],
8,Bangladesh,Asia,165158616,,15 Jun 2022,2022 preliminary census result[9],
9,Russia,Europe[c],145100000,,1 Jun 2022,Official estimate[11],"It includes the Republic of Crimea and Sevastopol, administrative areas on the Crimean Peninsula occupied by Russia. The Ukrainian government and most of the world's other states consider the Crimean Peninsula part of Ukraine's territory."
10,Mexico,North America,128533664,,30 Jun 2022,National quarterly estimate[12],
11,Japan,Asia,125927902,,1 Jan 2022,Official estimate[13],
12,Philippines,Asia,112493737,,1 Oct 2022,National population clock[14],
13,Ethiopia,Africa,105163988,,1 Jul 2022,National annual projection[15],
14,Egypt,Africa[b],103895682,,1 Oct 2022,National population clock[16],
15,Vietnam,Asia,98506193,,1 Jul 2021,Official estimate[17],
16,DR Congo,Africa,95241000,,1 Jul 2022,UN projection[3],
17,Iran,Asia,85819182,,1 Oct 2022,National population clock[18],
18,Turkey,Asia[b],84680273,,31 Dec 2021,Official estimate[19],
19,Germany,Europe,84079811,,30 Jun 2022,National quarterly estimate[20],
20,France,Europe,67918000,,1 Aug 2022,Monthly national estimate[21],"Includes the integral 18 regions of France (including 5 overseas departments and regions). Does not include France's 5 overseas collectivities: French Polynesia, Saint Barthélemy, Saint Martin, Saint Pierre and Miquelon, and Wallis and Futuna, and the sui generis collectivity of New Caledonia, which are shown separately.[22]"
21,United Kingdom,Europe,67081234,,30 Jun 2020,Official estimate[23],Excludes the 3 British Crown Dependencies and the 14 British Overseas Territories listed separately. Four British Overseas Territories are not listed due to their extraordinary nature.[24]
22,Thailand,Asia,66842005,,1 Oct 2022,National population clock[25],
23,Tanzania,Africa,61280743,,1 Jul 2022,Official projection[26],Includes Zanzibar.
24,South Africa,Africa,60604992,,1 Jul 2022,Official estimate[27],
25,Italy,Europe,58867239,,30 Jun 2022,Monthly national estimate[28],
26,Myanmar,Asia,55294979,,1 Jul 2021,National annual projection[29],
27,South Korea,Asia,51638809,,31 Dec 2021,Official estimate[30],
28,Colombia,South America,51049498,,30 Jun 2021,Official projection[31],
29,Kenya,Africa,47564296,,31 Aug 2019,2019 census result[32],
30,Spain,Europe,47432805,,1 Jan 2022,Official estimate[33],
31,Argentina,South America,47327407,,18 May 2022,2022 census preliminary result[34],
32,Algeria,Africa,45400000,,1 Jan 2022,Official estimate[35],
33,Sudan,Africa,44796260,,1 Oct 2022,National population clock[36],
34,Uganda,Africa,42885900,,1 Jul 2021,Official projection[37],
35,Iraq,Asia,41190700,,1 Jul 2021,Official estimate[38],
36,Ukraine,Europe,41130432,,1 Feb 2022,National monthly estimate[39],"Excluding the Autonomous Republic of Crimea and the city of Sevastopol, Ukraine's de jure territory which is occupied by Russia (however including the Donbas region where there are ongoing separatist insurgencies)."
37,Canada,North America,38957630,,1 Oct 2022,National population clock[40],
38,Poland,Europe,37996000,,31 Jul 2022,National monthly estimate[41],
39,Morocco,Africa,36736144,,1 Oct 2022,National population clock[42],Excluding the disputed territory of Western Sahara (Sahrawi Arab Democratic Republic).
40,Uzbekistan,Asia,35799238,,1 Oct 2022,National population clock[43],
41,Saudi Arabia,Asia,35013414,,1 Jul 2020,Official estimate[44],
42,Peru,South America,33396698,,1 Jul 2022,National annual projection[45],
43,Angola,Africa,33086278,,30 Jun 2022,National annual projection[46],
44,Afghanistan,Asia,32890171,,1 Jul 2020,Official estimate[47],
45,Malaysia,Asia,32743200,,1 Oct 2022,National population clock[48],
46,Mozambique,Africa,31616078,,1 Jul 2022,National annual projection[49],
47,Yemen,Asia,31155000,,1 Jul 2022,UN projection[3],
48,Ghana,Africa,30832019,,27 Jun 2021,2021 census results[50],
49,Ivory Coast,Africa,29389150,,14 Dec 2021,2021 census result[51],
50,Venezuela,South America,29267000,,1 Jul 2022,UN projection[3],
51,Nepal,Asia,29192480,,11 Nov 2021,2021 census result[52],
52,Madagascar,Africa,26923353,,1 Jul 2021,National annual projection[53],
53,Australia,Oceania,25974609,,1 Oct 2022,National population clock[54],"Excluding the external territories of Christmas Island, the Cocos (Keeling) Islands, and Norfolk Island."
54,North Korea,Asia,25660000,,1 Jul 2021,National annual projection[55],
55,Cameroon,Africa,24348251,,1 Jul 2019,National annual projection[56],
56,Niger,Africa,24112753,,1 Jul 2021,National annual projection[57],
–,Taiwan,Asia,23375314,,31 Dec 2021,Official estimate[58],"Taiwan includes Penghu, Kinmen, Matsu and other minor islands."
57,Sri Lanka,Asia,22156000,,1 Jul 2021,Official estimate[59],
58,Burkina Faso,Africa,21510181,,1 Jul 2020,National annual projection[60],
59,Malawi,Africa,21507723,,1 Jul 2022,National annual projection[61],
60,Mali,Africa,21474000,,1 Jul 2022,UN projection[3],
61,Chile,South America,19678363,,30 Jun 2021,National annual projection[62],
62,Kazakhstan,Asia[b],19318496,,1 Oct 2022,National population clock[63],
63,Romania,Europe,19038098,,1 Jan 2022,Official estimate[64],
64,Zambia,Africa,18400556,,1 Jul 2021,National annual projection[65],
65,Syria,Asia,18276000,,1 Jul 2021,UN projection[3],
66,Ecuador,South America,18073236,,1 Oct 2022,National population clock[66],
